Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0039596283,0.002711765,49.12932,4.912932,32.72547,14.821908,-3.8007755,-0.0025950968,0.0023870743,0.0016454415,-0.006270286,-0.0035235104,0.0028461555,0.0007358652,-0.009180761,-3.8159122,0.59043026,-2.628097,-4.7219567,-0.0013214581,0.001162372,0.00074657146,-0.00379522,0.00085257535,0.001922477,0.0044025443,-0.004082636,0.002552582,0.0015078239,-0.23151005766225852,-0.44544137912767,-0.3078462042664645,20,8000,0,1.1581132337450981,0,3.818438559770584,4.976551793515682,10.22388345003128,0
0.0032610924,0.0042065163,44.704536,4.4704537,18.795132,6.1785183,-3.7407146,-0.3661892,0.058750764,-0.2782953,-0.49087533,1.2962345,0.21423113,1.6884063,0.89973634,-4.124975,0.30741528,-3.7446954,-4.7515078,-0.013638963,0.032128274,0.0566445,-0.091758035,-0.11286486,0.036264516,-0.043586515,-0.23387823,0.010362063,0.0045658746,0.05837618223938551,0.26238641301239934,-0.029769631421211216,40,12000,0,0.5779957324266434,5.249482721090317,1.7748154029250145,7.602293856441975,17.827821910381317,1
0.021817362,0.022288974,28.217894,2.8217895,23.272575,0.9791734,-3.631203,-0.4102439,0.17154254,-0.20228276,-0.85759765,3.2359478,0.76885974,4.3619065,1.7481241,-4.0585623,0.21549235,-3.7196684,-4.452399,0.0007263357,0.036911085,0.06547373,-0.0702475,-0.12264377,0.030254917,-0.062056012,-0.19172272,0.012683486,0.015156455,0.020278515609879644,0.25740656543482276,0.13585402490622536,60,16000,0,0.578339695930481,5.251724191009998,1.7614756375551224,7.591539524495602,25.50643600523472,2
0.030768454,0.083049625,15.729909,1.5729909,26.322132,1.0472472,-3.5854402,-0.38177466,0.08779084,-0.26296204,-0.57115614,3.2517023,0.81556517,4.3329883,1.7820492,-4.00189,0.2480093,-3.5202098,-4.3196115,0.0049409005,0.043055374,0.10555757,-0.09165184,-0.117239214,0.024231782,-0.07540668,-0.18187526,0.03761512,0.032581326,-0.13622746821757467,-0.6519937614148428,0.14774680925555284,80,20000,0,0.5724038034677505,5.338305272161961,1.781616136431694,7.692325212061405,33.08606032282114,3
0.09419445,0.18867029,8.618296,0.8618296,11.751781,0.95428133,-3.6083345,-0.5873457,0.15610172,-0.3287977,-0.8548023,2.8799183,0.47962612,3.6529047,1.6701796,-4.1961646,0.26106265,-3.7660751,-4.5908356,0.018317489,0.02670751,0.081585005,-0.027700514,-0.1095997,0.023137487,-0.06283683,-0.17427069,0.0153273735,0.05441316,0.1106943360571221,-0.33664059145901926,0.16457543079258896,100,24000,0,0.5682792216539383,5.225790321826935,1.7554134503006935,7.549482993781567,40.63769794255495,4
0.036385644,0.31612617,4.580649,0.45806488,20.461618,0.4264627,-3.741392,-0.27341413,0.053810593,-0.19501428,-0.40941274,3.5933425,0.5247862,4.6181593,2.9587252,-4.0196333,0.20391384,-3.5730047,-4.389641,0.012448486,0.018011367,0.059843935,-0.03129702,-0.104478866,0.02117942,-0.06647149,-0.17336053,0.03739724,0.07837021,0.2678342409050894,0.30619103085365434,0.21473237633473094,120,28000,0,0.5682635679841042,5.228117614984512,1.775107391178608,7.571488574147224,48.18753141909838,5
0.0940153,0.46216172,2.3739433,0.23739433,15.937462,0.7194067,-3.8677707,-0.22435962,0.043746695,-0.168658,-0.30728415,3.2952964,0.57915473,4.3819165,1.9935141,-4.0874186,0.38495827,-3.4116743,-5.2947726,0.0064226813,0.013773451,0.042339377,-0.024500832,-0.13372956,0.028210253,-0.08114143,-0.22467494,0.026282847,0.10071943,0.19224047033069996,0.06219016596423048,-0.00992026429652193,140,32000,0,0.5677763447165489,5.206695318222046,1.7567326575517654,7.53120432049036,55.74576714634895,6
0.06791728,0.617146,1.0679721,0.10679721,36.075905,0.7029237,-3.943832,-0.12248993,0.02967396,-0.07954681,-0.18292582,3.6253796,0.7565548,4.919652,2.136004,-4.068596,0.32761848,-3.8128254,-5.2197065,0.003578828,0.023166887,0.05005717,-0.048066624,-0.09936253,0.04308956,-0.023031507,-0.2126343,0.040571637,0.12146266,-0.10772501173804076,-0.09301649578502193,-0.22211169579261872,160,36000,0,0.5672650933265686,5.234247297048569,1.7592026144266129,7.56071500480175,63.31242197751999,7
0.10567757,0.73163825,0.54274726,0.054274727,20.482819,0.67393523,-4.0254555,-0.0873376,0.021111237,-0.06395498,-0.13513891,3.9614663,0.7156846,4.8181906,2.4593534,-4.1096497,0.25788635,-3.7257738,-4.765195,0.0027453927,0.028441334,0.071734786,-0.04339707,-0.14661826,0.056095485,-0.058802225,-0.28590533,0.019304616,0.13653453,-0.10960719060092718,0.04680651435393497,0.3573396024927935,180,40000,0,0.5670972913503647,5.240382716059685,1.7545056268572807,7.56198563426733,70.84222848713398,8
0.04894686,0.8131894,0.18968788,0.018968789,29.792126,0.54265255,-4.125666,-0.052592747,0.0154793495,-0.020915486,-0.08766425,4.221098,0.62312937,5.047646,2.7289557,-4.1778393,0.29379463,-3.680936,-4.9349146,0.0023626576,0.025917465,0.064490415,-0.050221518,-0.14291249,0.033232283,-0.09011482,-0.22625887,0.014437934,0.14595886,0.3066428886745571,-0.04019754183329959,-0.47291173981824125,200,44000,0,0.5689409524202347,5.208329424262047,1.7598719596862793,7.537142336368561,78.40851040184498,9
